prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,plms,laion400m,config
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,optimizedSD/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,optimizedSD/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,optimizedSD/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"Samurai fighing dragon in an abandoned battlefield, inkbrush chinese",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
testing test hackathon assembly ai,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
testing test hackathon assembly ai,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"testing hackathon test ai assemblyvan gogh, chinese ink brush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"testing_hackathon_test_ai_assembly,van gogh, chinese ink brush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"testing climate planet globally space,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"testing climate planet globally space,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"information terrorism refugees climate conflicts cooperation,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"c r d c t,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"climate refugees disasters crisis terrorism,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"climate refugees disasters crisis terrorism,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"climate refugees disasters crisis terrorism,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"climate refugees disasters crisis terrorism,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"climate refugees disasters crisis terrorism,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"climate refugees disasters crisis terrorism,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
"terrorism testing terrorist isis attacks,chinese inkbrush,stylised,concept",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,,,optimizedSD/v1-inference.yaml
